iter	QueryRMSE
0	5.522705985
1	5.34312677
2	5.156246043
3	4.995467778
4	4.886182873
5	4.773074107
6	4.67728653
7	4.580357126
8	4.495367661
9	4.42579969
10	4.364580387
11	4.314060483
12	4.263989967
13	4.227416114
14	4.188986883
15	4.153688671
16	4.12300922
17	4.100045154
18	4.066953075
19	4.047658001
20	4.020581695
21	3.995704079
22	3.970827708
23	3.948741888
24	3.924979088
25	3.908981191
26	3.892199672
27	3.881164572
28	3.862821497
29	3.846485225
30	3.839465906
31	3.829661246
32	3.815127743
33	3.805962518
34	3.797010271
35	3.784713413
36	3.77485849
37	3.7665431
38	3.757166295
39	3.748586307
40	3.740828128
41	3.732632877
42	3.722306666
43	3.715825664
44	3.710504668
45	3.701375428
46	3.695583911
47	3.689700643
48	3.683478219
49	3.677329423
50	3.671036774
51	3.666679982
52	3.658448497
53	3.653192868
54	3.646941664
55	3.641509358
56	3.638473744
57	3.635675908
58	3.631499245
59	3.628453823
60	3.625404176
61	3.622641615
62	3.617939904
63	3.608590578
64	3.604141451
65	3.599886441
66	3.59601855
67	3.591102575
68	3.585624859
69	3.580316593
70	3.571628424
71	3.566807648
72	3.56280872
73	3.559986506
74	3.556005297
75	3.553783927
76	3.543335184
77	3.539981962
78	3.533535185
79	3.530231627
80	3.524215989
81	3.52014114
82	3.51590265
83	3.512346528
84	3.504959317
85	3.49935244
86	3.494287653
87	3.491315977
88	3.484613905
89	3.482979567
90	3.478351169
91	3.476787359
92	3.471270798
93	3.465476783
94	3.460862198
95	3.45932898
96	3.453495122
97	3.449070859
98	3.444307385
99	3.443100587
100	3.439217823
101	3.433332267
102	3.428670943
103	3.424259804
104	3.418035434
105	3.413130395
106	3.40765591
107	3.401648547
108	3.397792916
109	3.394534291
110	3.390055101
111	3.386911121
112	3.380540629
113	3.375899222
114	3.371402065
115	3.367516161
116	3.365997669
117	3.362432987
118	3.358919093
119	3.357417742
120	3.353341423
121	3.351889443
122	3.347952161
123	3.344464168
124	3.34033923
125	3.337053829
126	3.328766653
127	3.324678344
128	3.323826885
129	3.322082406
130	3.318038093
131	3.310707256
132	3.309496882
133	3.304646245
134	3.30117803
135	3.299294312
136	3.296857635
137	3.291915716
138	3.288804818
139	3.283115161
140	3.278744578
141	3.273928189
142	3.270070111
143	3.267650464
144	3.266542934
145	3.263124104
146	3.25977143
147	3.256251096
148	3.251081549
149	3.250497538
150	3.248112501
151	3.245164462
152	3.243713398
153	3.240229136
154	3.2370947
155	3.234026785
156	3.231653824
157	3.227782854
158	3.225068035
159	3.221749779
160	3.217525458
161	3.213419409
162	3.210708235
163	3.205909255
164	3.202431568
165	3.199371914
166	3.196984598
167	3.194432551
168	3.19039767
169	3.187240154
170	3.184489229
171	3.183124268
172	3.181176954
173	3.178176964
174	3.175166143
175	3.171797515
176	3.169506341
177	3.167069424
178	3.163789307
179	3.160760342
180	3.155735911
181	3.151539083
182	3.148598748
183	3.145462257
184	3.140998004
185	3.138480684
186	3.133965287
187	3.131271596
188	3.127004915
189	3.124179983
190	3.121528639
191	3.116651529
192	3.114245421
193	3.110879343
194	3.108466645
195	3.105529012
196	3.103084121
197	3.100299599
198	3.099438394
199	3.097649435
200	3.093522893
201	3.092420141
202	3.090168185
203	3.087206634
204	3.083367794
205	3.080317336
206	3.079421208
207	3.078212379
208	3.075360508
209	3.073057372
210	3.070907841
211	3.067678807
212	3.065047433
213	3.061739484
214	3.060326988
215	3.057306287
216	3.053935028
217	3.051775367
218	3.049220297
219	3.045756908
220	3.043922693
221	3.040994601
222	3.039495832
223	3.037722975
224	3.034111007
225	3.030740899
226	3.027951858
227	3.024946728
228	3.022602904
229	3.01991866
230	3.017546372
231	3.01485302
232	3.012173025
233	3.010101491
234	3.008133684
235	3.005050263
236	3.001328666
237	2.999657214
238	2.997244722
239	2.994579758
240	2.991099986
241	2.988937079
242	2.98671286
243	2.984276941
244	2.98120019
245	2.977903272
246	2.976348294
247	2.975044286
248	2.972436834
249	2.969485446
250	2.967985796
251	2.965894733
252	2.962558836
253	2.958656162
254	2.957275358
255	2.954146247
256	2.951210436
257	2.948323165
258	2.945724273
259	2.944037457
260	2.940455638
261	2.938240507
262	2.935268058
263	2.933824409
264	2.931076329
265	2.928375887
266	2.926248434
267	2.924381437
268	2.921775362
269	2.91917613
270	2.917777588
271	2.914920626
272	2.914081245
273	2.912732579
274	2.910744267
275	2.908266421
276	2.905274742
277	2.903223243
278	2.900224814
279	2.897619112
280	2.895816075
281	2.892776361
282	2.889464311
283	2.887029719
284	2.886403313
285	2.884698051
286	2.88396535
287	2.881730047
288	2.879319243
289	2.877012407
290	2.874577356
291	2.871410091
292	2.869639748
293	2.867606548
294	2.865825705
295	2.860387665
296	2.857350262
297	2.855274365
298	2.854292501
299	2.852894876
